Date,Open,High,Low,Close
04/27/2022,"17,073.35","17,110.70","16,958.45","17,038.40"
04/26/2022,"17,121.30","17,223.85","17,064.45","17,200.80"
04/25/2022,"17,009.05","17,054.30","16,888.70","16,953.95"
04/22/2022,"17,242.75","17,315.30","17,149.20","17,171.95"
04/21/2022,"17,234.60","17,414.70","17,215.50","17,392.60"
04/20/2022,"17,045.25","17,186.90","16,978.95","17,136.55"
04/19/2022,"17,258.95","17,275.65","16,824.70","16,958.65"
04/18/2022,"17,183.45","17,237.75","17,067.85","17,173.65"
04/13/2022,"17,599.90","17,663.65","17,457.40","17,475.65"
04/12/2022,"17,584.85","17,595.30","17,442.35","17,530.30"
04/11/2022,"17,740.90","17,779.05","17,650.95","17,674.95"
04/08/2022,"17,698.15","17,842.75","17,600.55","17,784.35"
04/07/2022,"17,723.30","17,787.50","17,623.70","17,639.55"
04/06/2022,"17,842.75","17,901.00","17,779.85","17,807.65"
04/05/2022,"18,080.60","18,095.45","17,921.55","17,957.40"
04/04/2022,"17,809.10","18,114.65","17,791.40","18,053.40"
04/01/2022,"17,436.90","17,703.70","17,422.70","17,670.45"
03/31/2022,"17,519.20","17,559.80","17,435.20","17,464.75"
03/30/2022,"17,468.15","17,522.50","17,387.20","17,498.25"
03/29/2022,"17,297.20","17,343.65","17,235.70","17,325.30"
03/28/2022,"17,181.85","17,235.10","17,003.90","17,222.00"
03/25/2022,"17,289.00","17,294.90","17,076.55","17,153.00"
03/24/2022,"17,094.95","17,291.75","17,091.15","17,222.75"
03/23/2022,"17,405.05","17,442.40","17,199.60","17,245.65"
03/22/2022,"17,120.40","17,334.40","17,006.30","17,315.50"
03/21/2022,"17,329.50","17,353.35","17,096.40","17,117.60"
03/17/2022,"17,202.90","17,344.60","17,175.75","17,287.05"
03/16/2022,"16,876.65","16,987.90","16,837.85","16,975.35"
